number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,params_random_strength,system_attrs_fixed_params,system_attrs_tpe:relative_params:0,state
21,0.8149066956632567,2026-09-21 14:29:00.449872,2026-09-21 14:29:34.364365,0 days 00:00:33.914493,0.018527546678297854,8,1400,6.831102149885506,0.016006811574723844,3.0775317202667027,,"{""bagging_temperature"": 0.018527546678297854, ""depth"": 8, ""iterations"": 1400, ""l2_leaf_reg"": 6.831102149885506, ""learning_rate"": 0.016006811574723844, ""random_strength"": 3.0775317202667027}",COMPLETE
22,0.8139128858910789,2026-09-21 14:29:34.365141,2026-09-21 14:29:50.222532,0 days 00:00:15.857391,0.30764093516014834,6,1300,5.900223948742839,0.0285515039016257,0.7895907819412141,,"{""bagging_temperature"": 0.30764093516014834, ""depth"": 6, ""iterations"": 1300, ""l2_leaf_reg"": 5.900223948742839, ""learning_rate"": 0.0285515039016257, ""random_strength"": 0.7895907819412141}",COMPLETE
23,0.8178236788247858,2026-09-21 14:29:50.222796,2026-09-21 14:30:08.221813,0 days 00:00:17.999017,0.21641205996520624,6,1500,9.90038502209085,0.01728104370203627,0.6985420429128288,,"{""bagging_temperature"": 0.21641205996520624, ""depth"": 6, ""iterations"": 1500, ""l2_leaf_reg"": 9.90038502209085, ""learning_rate"": 0.01728104370203627, ""random_strength"": 0.6985420429128288}",COMPLETE
24,0.8157523604614717,2026-09-21 14:30:08.222661,2026-09-21 14:30:27.611231,0 days 00:00:19.388570,0.3086154452754785,7,1200,6.543102678232658,0.027406130486898776,2.7263739556482545,,"{""bagging_temperature"": 0.3086154452754785, ""depth"": 7, ""iterations"": 1200, ""l2_leaf_reg"": 6.543102678232658, ""learning_rate"": 0.027406130486898776, ""random_strength"": 2.7263739556482545}",COMPLETE
25,0.8134077389233788,2026-09-21 14:30:27.611429,2026-09-21 14:30:49.337568,0 days 00:00:21.726139,0.2631719734599147,7,1400,12.338447263848076,0.010200194181323915,0.9726215536153713,,"{""bagging_temperature"": 0.2631719734599147, ""depth"": 7, ""iterations"": 1400, ""l2_leaf_reg"": 12.338447263848076, ""learning_rate"": 0.010200194181323915, ""random_strength"": 0.9726215536153713}",COMPLETE
26,0.8158250237355947,2026-09-21 14:30:49.337729,2026-09-21 14:31:06.278788,0 days 00:00:16.941059,0.16997449409475363,7,1100,5.550967908588991,0.018319923709484685,1.8650660155384915,,"{""bagging_temperature"": 0.16997449409475363, ""depth"": 7, ""iterations"": 1100, ""l2_leaf_reg"": 5.550967908588991, ""learning_rate"": 0.018319923709484685, ""random_strength"": 1.8650660155384915}",COMPLETE
27,0.8145575189804865,2026-09-21 14:31:06.279100,2026-09-21 14:31:21.978672,0 days 00:00:15.699572,0.39498863326025146,6,1300,7.193798627994205,0.010460623716132069,0.4289519185870387,,"{""bagging_temperature"": 0.39498863326025146, ""depth"": 6, ""iterations"": 1300, ""l2_leaf_reg"": 7.193798627994205, ""learning_rate"": 0.010460623716132069, ""random_strength"": 0.4289519185870387}",COMPLETE
28,0.8150145853812729,2026-09-21 14:31:21.978844,2026-09-21 14:31:44.878579,0 days 00:00:22.899735,0.2106946335565081,7,1500,8.548270505791322,0.02185482265972166,0.44621324661736944,,"{""bagging_temperature"": 0.2106946335565081, ""depth"": 7, ""iterations"": 1500, ""l2_leaf_reg"": 8.548270505791322, ""learning_rate"": 0.02185482265972166, ""random_strength"": 0.44621324661736944}",COMPLETE
29,0.8161743349521272,2026-09-21 14:31:44.878778,2026-09-21 14:32:01.948961,0 days 00:00:17.070183,0.20725610062714728,6,1500,16.834340158554213,0.015906689846968705,0.4505607233650627,,"{""bagging_temperature"": 0.20725610062714728, ""depth"": 6, ""iterations"": 1500, ""l2_leaf_reg"": 16.834340158554213, ""learning_rate"": 0.015906689846968705, ""random_strength"": 0.4505607233650627}",COMPLETE
30,0.8132132476356013,2026-09-21 14:32:01.949175,2026-09-21 14:32:22.673236,0 days 00:00:20.724061,0.30225896205372227,7,1400,16.023888364759657,0.013200737586985072,0.022713229065047635,,"{""bagging_temperature"": 0.30225896205372227, ""depth"": 7, ""iterations"": 1400, ""l2_leaf_reg"": 16.023888364759657, ""learning_rate"": 0.013200737586985072, ""random_strength"": 0.022713229065047635}",COMPLETE
31,0.8160632404374782,2026-09-21 14:32:22.673414,2026-09-21 14:32:37.324961,0 days 00:00:14.651547,0.3164576952880226,6,1300,14.243257259279375,0.02926177121143705,0.9574778984375989,,"{""bagging_temperature"": 0.3164576952880226, ""depth"": 6, ""iterations"": 1300, ""l2_leaf_reg"": 14.243257259279375, ""learning_rate"": 0.02926177121143705, ""random_strength"": 0.9574778984375989}",COMPLETE
